Step,Setup Time,Solve Time,Time Per Iteration,Total Time,Newton Cycles,Newton Times
0,0.0028167,3.95,0.21944444444444444,3.086,6,0.0|0.0|0.17|0.01|2.02|0.0|0.21|0.27|0.0|0.17|0.02|0.25|0.0|0.14|0.19|0.0|0.2|0.3
1,0.0026801999999999998,3.56,0.178,2.764,6,0.0|0.0|0.16|0.03|1.83|0.0|0.17|0.03|0.25|0.0|0.16|0.0|0.22|0.0|0.17|0.01|0.23|0.0|0.12|0.18
2,0.0025797999999999997,3.3,0.1941176470588235,2.597,6,0.0|0.0|0.15|1.7|0.0|0.16|0.21|0.0|0.16|0.01|0.24|0.0|0.13|0.18|0.0|0.15|0.21
3,0.0018254,3.18,0.18705882352941178,2.525,6,0.0|0.0|0.15|1.69|0.0|0.16|0.01|0.23|0.0|0.14|0.2|0.0|0.12|0.17|0.0|0.13|0.18
4,0.0023837,3.19,0.18764705882352942,2.531,6,0.0|0.0|0.14|1.69|0.0|0.15|0.21|0.0|0.16|0.01|0.23|0.0|0.12|0.17|0.0|0.13|0.18
5,0.002234,2.93,0.2092857142857143,2.389,5,0.0|0.0|0.15|1.69|0.0|0.17|0.22|0.0|0.16|0.01|0.23|0.0|0.12|0.18
6,0.0020947,2.9799999999999995,0.21285714285714283,2.407,5,0.0|0.0|0.15|1.7|0.0|0.16|0.21|0.0|0.16|0.01|0.23|0.0|0.15|0.21
7,0.0027926,3.3300000000000005,0.1958823529411765,2.606,6,0.0|0.0|0.14|1.69|0.0|0.16|0.0|0.22|0.0|0.16|0.22|0.0|0.16|0.21|0.0|0.16|0.21
8,0.0022472,3.2500000000000004,0.1911764705882353,2.569,6,0.0|0.0|0.14|1.69|0.0|0.15|0.21|0.0|0.16|0.01|0.22|0.0|0.12|0.18|0.0|0.16|0.21
9,0.0031689,3.2100000000000004,0.20062500000000003,2.538,6,0.0|0.0|0.15|1.69|0.0|0.16|0.21|0.0|0.16|0.22|0.0|0.12|0.18|0.0|0.13|0.19
10,0.0014483,3.0999999999999996,0.19374999999999998,2.5,6,0.0|0.0|0.15|1.69|0.0|0.13|0.19|0.0|0.15|0.21|0.0|0.11|0.17|0.0|0.12|0.18
11,0.000762,3.45,0.18157894736842106,2.71,7,0.0|0.0|0.15|1.7|0.0|0.12|0.18|0.0|0.12|0.18|0.0|0.12|0.17|0.0|0.17|0.22|0.0|0.13|0.19
