Step,Setup Time,Solve Time,Time Per Iteration,Total Time,Newton Cycles,Newton Times
0,0.0032551999999999998,3.47,0.1927777777777778,2.718,6,0.0|0.0|0.17|0.01|1.8|0.0|0.17|0.22|0.0|0.17|0.02|0.24|0.0|0.14|0.19|0.0|0.14|0.2
1,0.0028293,3.4599999999999995,0.173,2.684,6,0.0|0.0|0.16|0.03|1.74|0.0|0.16|0.03|0.24|0.0|0.16|0.0|0.22|0.0|0.17|0.01|0.23|0.0|0.13|0.18
2,0.0025019,3.29,0.1935294117647059,2.584,6,0.0|0.0|0.14|1.69|0.0|0.16|0.21|0.0|0.17|0.01|0.24|0.0|0.13|0.18|0.0|0.15|0.21
3,0.0018706,3.21,0.1888235294117647,2.549,6,0.0|0.0|0.15|1.7|0.0|0.17|0.01|0.23|0.0|0.15|0.2|0.0|0.12|0.17|0.0|0.13|0.18
4,0.0023847,3.2100000000000004,0.18882352941176472,2.549,6,0.0|0.0|0.14|1.69|0.0|0.16|0.21|0.0|0.17|0.01|0.23|0.0|0.12|0.18|0.0|0.12|0.18
5,0.0025417,2.9499999999999997,0.2107142857142857,2.406,5,0.0|0.0|0.15|1.69|0.0|0.17|0.22|0.0|0.17|0.01|0.23|0.0|0.13|0.18
6,0.0022492,2.9899999999999998,0.21357142857142855,2.411,5,0.0|0.0|0.15|1.7|0.0|0.16|0.21|0.0|0.16|0.01|0.23|0.0|0.16|0.21
7,0.0026238999999999998,3.3600000000000003,0.19764705882352943,2.629,6,0.0|0.0|0.15|1.69|0.0|0.16|0.0|0.22|0.0|0.17|0.22|0.0|0.16|0.21|0.0|0.16|0.22
8,0.002025,3.31,0.19470588235294117,2.601,6,0.0|0.0|0.15|1.71|0.0|0.15|0.21|0.0|0.17|0.01|0.23|0.0|0.12|0.18|0.0|0.16|0.22
9,0.0033179999999999998,3.2100000000000004,0.20062500000000003,2.568,6,0.0|0.0|0.15|1.69|0.0|0.16|0.21|0.0|0.16|0.22|0.0|0.12|0.18|0.0|0.13|0.19
10,0.0014277,3.14,0.19625,2.508,6,0.0|0.0|0.15|1.7|0.0|0.14|0.19|0.0|0.16|0.21|0.0|0.12|0.17|0.0|0.12|0.18
11,0.0009452,3.4200000000000004,0.18000000000000002,2.693,7,0.0|0.0|0.15|1.7|0.0|0.12|0.18|0.0|0.13|0.18|0.0|0.12|0.17|0.0|0.16|0.21|0.0|0.12|0.18
12,0.0036636000000000004,3.83,0.20157894736842105,2.921,7,0.0|0.0|0.15|1.73|0.0|0.16|0.22|0.0|0.16|0.21|0.0|0.17|0.24|0.0|0.19|0.25|0.0|0.15|0.2
13,0.0018543000000000001,3.51,0.1755,2.736,7,0.0|0.0|0.15|1.7|0.0|0.17|0.01|0.23|0.0|0.13|0.19|0.0|0.13|0.18|0.0|0.12|0.18|0.0|0.13|0.19
14,0.002271,4.5,0.15,3.32,10,0.0|0.0|0.15|1.73|0.0|0.17|0.01|0.23|0.0|0.12|0.18|0.0|0.12|0.17|0.0|0.11|0.17|0.0|0.12|0.17|0.0|0.16|0.0|0.22|0.0|0.14|0.19|0.0|0.14|0.2
15,0.0038946999999999996,4.860000000000001,0.1472727272727273,3.508,11,0.0|0.0|0.15|1.7|0.0|0.17|0.01|0.23|0.0|0.12|0.18|0.0|0.12|0.17|0.0|0.11|0.17|0.0|0.12|0.17|0.0|0.16|0.0|0.22|0.0|0.15|0.2|0.0|0.15|0.21|0.0|0.15|0.2
16,0.0040988,5.320000000000002,0.15200000000000005,3.787,12,0.0|0.0|0.15|1.71|0.0|0.16|0.21|0.0|0.12|0.18|0.0|0.12|0.17|0.0|0.15|0.2|0.0|0.15|0.2|0.0|0.17|0.01|0.23|0.0|0.13|0.19|0.0|0.15|0.2|0.0|0.15|0.21|0.0|0.15|0.21
17,0.0057591000000000005,5.220000000000001,0.14914285714285716,3.722,12,0.0|0.0|0.15|1.69|0.0|0.14|0.19|0.0|0.12|0.18|0.0|0.12|0.18|0.0|0.12|0.18|0.0|0.15|0.21|0.0|0.17|0.01|0.23|0.0|0.13|0.19|0.0|0.15|0.2|0.0|0.16|0.21|0.0|0.14|0.2
18,0.0034461000000000006,5.2200000000000015,0.1491428571428572,3.723,12,0.0|0.0|0.14|1.69|0.0|0.13|0.18|0.0|0.13|0.18|0.0|0.15|0.2|0.0|0.15|0.21|0.0|0.12|0.17|0.0|0.16|0.0|0.22|0.0|0.14|0.2|0.0|0.15|0.2|0.0|0.15|0.21|0.0|0.14|0.2
19,0.0040333999999999995,5.240000000000001,0.14971428571428574,3.721,12,0.0|0.0|0.14|1.69|0.0|0.14|0.2|0.0|0.16|0.21|0.0|0.15|0.21|0.0|0.15|0.2|0.0|0.12|0.17|0.0|0.16|0.01|0.22|0.0|0.13|0.19|0.0|0.13|0.19|0.0|0.14|0.2|0.0|0.14|0.19
20,0.007558499999999999,5.350000000000001,0.15285714285714289,3.798,12,0.0|0.0|0.13|1.67|0.0|0.16|0.22|0.0|0.16|0.23|0.0|0.15|0.2|0.0|0.15|0.2|0.0|0.12|0.18|0.0|0.16|0.01|0.23|0.0|0.14|0.2|0.0|0.15|0.2|0.0|0.15|0.2|0.0|0.14|0.2
21,0.005827000000000001,5.330000000000001,0.14805555555555558,3.767,12,0.0|0.0|0.14|1.69|0.0|0.16|0.01|0.22|0.0|0.15|0.2|0.0|0.15|0.2|0.0|0.15|0.21|0.0|0.12|0.18|0.0|0.17|0.01|0.24|0.0|0.13|0.19|0.0|0.13|0.19|0.0|0.15|0.21|0.0|0.14|0.19
22,0.0031937,3.5800000000000005,0.17900000000000002,2.76,7,0.0|0.0|0.13|1.69|0.0|0.17|0.01|0.23|0.0|0.14|0.2|0.0|0.15|0.2|0.0|0.15|0.21|0.0|0.12|0.18
23,0.0036540000000000006,3.5600000000000005,0.17800000000000002,2.756,7,0.0|0.0|0.12|1.69|0.0|0.16|0.01|0.23|0.0|0.14|0.2|0.0|0.15|0.2|0.0|0.15|0.21|0.0|0.12|0.18
24,0.0023322,3.53,0.1765,2.734,7,0.0|0.0|0.12|1.66|0.0|0.16|0.0|0.22|0.0|0.13|0.19|0.0|0.15|0.2|0.0|0.15|0.2|0.0|0.15|0.2
